experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	xwan7313 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	NOW 	NOW 	1 	1 	RIG 	RIG 	1 	0
main	1 	xwan7313 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	SUM 	SUM 	1 	0 	DOC 	DOC 	1 	0
main	2 	xwan7313 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	MAD 	MAD 	1 	-99 	-99 	-99 	-99 	0
main	3 	xwan7313 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	DID 	DID 	1 	0 	PIN 	PIN 	1 	0
main	4 	xwan7313 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	BAG 	BAG 	1 	1 	LIP 	LIP 	1 	0
main	5 	xwan7313 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	HIT 	HIT 	1 	-99 	-99 	-99 	-99 	0
main	6 	xwan7313 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	MIX 	MIX 	1 	0 	AGE 	AGE 	1 	0
main	7 	xwan7313 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	1 	OFF 	AGE 	0 	0 	HAT 	EDG 	0 	0
main	8 	xwan7313 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	FAN 	LIT 	0 	-99 	-99 	-99 	-99 	0
main	9 	xwan7313 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	LAP 	LAB 	0 	1 	ROB 	ROB 	1 	0
main	10 	xwan7313 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	DUG 	LOW 	0 	-99 	-99 	-99 	-99 	0
main	11 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	MAD 	NEW 	0 	1 	HOP 	HOP 	1 	0
main	12 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	TAX 	NET 	0 	0 	GUM 	GUM 	1 	0
main	13 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	INN 	INT 	0 	0 	FAT 	FAT 	1 	0
main	14 	xwan7313 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	OWE 	AWE 	0 	-99 	-99 	-99 	-99 	0
main	15 	xwan7313 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	ASK 	FEE 	0 	-99 	-99 	-99 	-99 	0
main	16 	xwan7313 	 T1 	 True 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	LAP 	LED 	0 	-99 	-99 	-99 	-99 	0
main	17 	xwan7313 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	LOG 	LED 	0 	0 	INN 	INN 	1 	0
main	18 	xwan7313 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	OIL 	OID 	0 	1 	NOR 	NOR 	1 	0
main	19 	xwan7313 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	COW 	COM 	0 	1 	TAX 	TAX 	1 	0
main	20 	xwan7313 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	PRO 	PRO 	1 	-99 	-99 	-99 	-99 	0
main	21 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	NUT 	CUM 	0 	1 	EGO 	EGO 	1 	0
main	22 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	NET 	NET 	1 	1 	CUT 	CUT 	1 	0
main	23 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	LAW 	EGO 	0 	0 	BUD 	BUD 	1 	0
main	24 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	SKY 	SKY 	1 	1 	HUG 	HUB 	0 	0
main	25 	xwan7313 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ONE 	AME 	0 	1 	RAT 	HUG 	0 	0
main	26 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	RIP 	RIP 	1 	1 	LOG 	DOG 	0 	0
main	27 	xwan7313 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	TOO 	KEY 	0 	-99 	-99 	-99 	-99 	0
main	28 	xwan7313 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	SUN 	SUM 	0 	0 	GIG 	GIG 	1 	0
