experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	ycha9009 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	OWE 	OWE 	1 	-99 	-99 	-99 	-99 	0
main	1 	ycha9009 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	WEE 	WEE 	1 	0 	WEE 	WEE 	1 	0
main	2 	ycha9009 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	TAP 	TAP 	1 	-99 	-99 	-99 	-99 	0
main	3 	ycha9009 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	JOB 	JOB 	1 	1 	SUE 	SUE 	1 	0
main	4 	ycha9009 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	GUY 	GUY 	1 	0 	HOT 	HOT 	1 	0
main	5 	ycha9009 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	PIN 	PIN 	1 	1 	WOW 	WOW 	1 	0
main	6 	ycha9009 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	WET 	ASD 	0 	1 	BUS 	BUS 	1 	0
main	7 	ycha9009 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	1 	POD 	ASD 	0 	0 	FUR 	FUR 	1 	0
main	8 	ycha9009 	 T1 	 True 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, -1) 	0 	TWO 	ASD 	0 	-99 	-99 	-99 	-99 	0
main	9 	ycha9009 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	1 	BAG 	GUT 	0 	0 	HUG 	HUG 	1 	0
main	10 	ycha9009 	 T1 	 True 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	DAD 	PIE 	0 	-99 	-99 	-99 	-99 	0
main	11 	ycha9009 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, 1) 	0 	LOG 	GET 	0 	1 	HUG 	HUG 	1 	0
main	12 	ycha9009 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, -1) 	0 	HOT 	GOT 	0 	1 	BAY 	HAY 	0 	0
main	13 	ycha9009 	 T1 	 True 	 0.0 	3.0 	0.25 	False 	False 	True 	both 	(0, 1) 	0 	HAS 	PUT 	0 	-99 	-99 	-99 	-99 	0
main	14 	ycha9009 	 T1 	 True 	 0.0 	3.0 	0.85 	False 	False 	False 	both 	(0, -1) 	0 	RIP 	RIP 	1 	-99 	-99 	-99 	-99 	0
