experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	yihe6052 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	AGE 	AGE 	1 	0 	ACE 	AGE 	0 	0
main	1 	yihe6052 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	YES 	JAR 	0 	-99 	-99 	-99 	-99 	0
main	2 	yihe6052 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	BAD 	BAD 	1 	1 	ART 	BAD 	0 	0
main	3 	yihe6052 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	JAR 	FAR 	0 	-99 	-99 	-99 	-99 	0
main	4 	yihe6052 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	SAY 	SAY 	1 	0 	FUR 	FUR 	1 	0
main	5 	yihe6052 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	NET 	NOT 	0 	-99 	-99 	-99 	-99 	0
main	6 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	COW 	PIT 	0 	0 	PIT 	PIT 	1 	0
main	7 	yihe6052 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	WET 	SUM 	0 	1 	SUM 	SUM 	1 	0
main	8 	yihe6052 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	FLY 	FLY 	1 	0 	DUE 	FLY 	0 	0
main	9 	yihe6052 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	BUS 	BUS 	1 	-99 	-99 	-99 	-99 	0
main	10 	yihe6052 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	PAL 	HAM 	0 	1 	HAM 	HAM 	1 	0
main	11 	yihe6052 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	DIP 	DIP 	1 	1 	BED 	DIP 	0 	0
main	12 	yihe6052 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	BEG 	BAG 	0 	-99 	-99 	-99 	-99 	0
main	13 	yihe6052 	 T1 	 True 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	PAL 	ACT 	0 	-99 	-99 	-99 	-99 	0
main	14 	yihe6052 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	JAW 	JAW 	1 	0 	PIT 	JAW 	0 	0
main	15 	yihe6052 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	TOY 	GET 	0 	1 	GOT 	TOY 	0 	0
main	16 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	PAD 	CAP 	0 	1 	CAB 	NOT 	0 	0
main	17 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	WIG 	EAT 	0 	0 	EAT 	EAT 	1 	0
main	18 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	BYE 	EAT 	0 	-99 	-99 	-99 	-99 	0
main	19 	yihe6052 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	FAT 	PAT 	0 	0 	PIT 	PIT 	1 	0
main	20 	yihe6052 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	BOY 	BOY 	1 	0 	TRY 	BOY 	0 	0
main	21 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	MAD 	MAD 	1 	-99 	-99 	-99 	-99 	0
main	22 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	YES 	WIN 	0 	1 	WIN 	WIN 	1 	0
main	23 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	TOY 	TOY 	1 	1 	KEY 	TOY 	0 	0
main	24 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	WAX 	WAX 	1 	1 	RUB 	LUB 	0 	0
main	25 	yihe6052 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	WON 	CAN 	0 	-99 	-99 	-99 	-99 	0
main	26 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	TAP 	TAP 	1 	1 	DIP 	TAP 	0 	0
main	27 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	INN 	INN 	1 	-99 	-99 	-99 	-99 	0
main	28 	yihe6052 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	LOT 	NOT 	0 	-99 	-99 	-99 	-99 	0
main	29 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	FLU 	END 	0 	0 	END 	END 	1 	0
main	30 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	BUM 	BUG 	0 	0 	INK 	INK 	1 	0
main	31 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	SON 	SON 	1 	0 	HIS 	SON 	0 	0
main	32 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	OWN 	OWN 	1 	0 	PIT 	PIT 	1 	0
main	33 	yihe6052 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	INN 	INN 	1 	1 	NOT 	NOT 	1 	0
main	34 	yihe6052 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	HID 	DRY 	0 	-99 	-99 	-99 	-99 	0
main	35 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	SUN 	BUS 	0 	1 	BUS 	BUS 	1 	0
main	36 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	BEE 	HIP 	0 	-99 	-99 	-99 	-99 	0
main	37 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	SAD 	SAI 	0 	1 	AID 	SAY 	0 	0
main	38 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	BRA 	BAF 	0 	1 	OFF 	ODD 	0 	0
main	39 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	RUG 	BUN 	0 	-99 	-99 	-99 	-99 	0
main	40 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	BAR 	BAR 	1 	0 	ANY 	BAR 	0 	0
main	41 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	RAW 	RAW 	1 	-99 	-99 	-99 	-99 	0
main	42 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	LET 	CAP 	0 	0 	CAP 	CAP 	1 	0
main	43 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	DRY 	DRY 	1 	1 	PIT 	RIG 	0 	0
main	44 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	SEX 	SEX 	1 	-99 	-99 	-99 	-99 	0
main	45 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	DUE 	DUN 	0 	0 	TAN 	DUN 	0 	0
main	46 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	HEY 	WAY 	0 	1 	WAY 	HAY 	0 	0
main	47 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	WON 	WON 	1 	0 	BUY 	HAY 	0 	0
main	48 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	INK 	INK 	1 	1 	RIG 	INK 	0 	0
main	49 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.35 	False 	False 	True 	both 	(0, 1) 	1 	HER 	BAR 	0 	0 	BAR 	BAR 	1 	0
main	50 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.35 	False 	False 	False 	both 	(0, 1) 	0 	MIX 	MAX 	0 	-99 	-99 	-99 	-99 	0
main	51 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	ACT 	ACT 	1 	1 	AGE 	ACT 	0 	0
main	52 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	TIL 	ABI 	0 	0 	GIG 	AGE 	0 	0
main	53 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	False 	both 	(0, -1) 	0 	HIT 	BOX 	0 	1 	BOX 	BOX 	1 	0
main	54 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, -1) 	1 	HOW 	HOW 	1 	0 	GAY 	HOW 	0 	0
main	55 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	ODD 	OLD 	0 	0 	BOW 	HOW 	0 	0
main	56 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, -1) 	0 	FIX 	BEE 	0 	-99 	-99 	-99 	-99 	0
main	57 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	BAT 	BAT 	1 	-99 	-99 	-99 	-99 	0
main	58 	yihe6052 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	WET 	WEE 	0 	1 	WEE 	WEE 	1 	0
main	59 	yihe6052 	 T1 	 True 	 0.0 	3.0 	0.45 	False 	False 	True 	both 	(0, 1) 	0 	FEW 	USE 	0 	-99 	-99 	-99 	-99 	0
