experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	zcha7409 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	Z 	C 	0 	2 	H 	A 	0 	0 	G 	H 	0 	0
main	1 	zcha7409 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	E 	E 	1 	0 	F 	F 	1 	1 	J 	J 	1 	0
main	2 	zcha7409 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	Z 	Z 	1 	2 	H 	H 	1 	0 	Y 	Y 	1 	0
main	3 	zcha7409 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	R 	R 	1 	0 	R 	R 	1 	1 	J 	J 	1 	0
main	4 	zcha7409 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	U 	U 	1 	2 	C 	C 	1 	0 	G 	G 	1 	0
main	5 	zcha7409 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	Y 	Y 	1 	0 	E 	E 	1 	1 	T 	T 	1 	0
main	6 	zcha7409 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	M 	M 	1 	0 	U 	Y 	0 	2 	Y 	K 	0 	0
main	7 	zcha7409 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	M 	A 	0 	0 	J 	K 	0 	1 	J 	L 	0 	0
main	8 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	2 	Z 	Z 	1 	0 	Z 	Z 	1 	1 	K 	K 	1 	0
main	9 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	R 	Z 	0 	1 	R 	M 	0 	2 	J 	F 	0 	0
main	10 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, 1) 	1 	G 	G 	1 	0 	T 	F 	0 	2 	U 	K 	0 	0
main	11 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	T 	T 	1 	1 	H 	H 	1 	2 	U 	E 	0 	0
main	12 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	False 	both 	(0, 1) 	2 	A 	A 	1 	0 	K 	K 	1 	1 	S 	S 	1 	0
main	13 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	False 	both 	(0, 1) 	2 	J 	J 	1 	0 	Z 	Z 	1 	1 	H 	L 	0 	0
main	14 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	N 	N 	1 	1 	G 	G 	1 	2 	C 	L 	0 	0
main	15 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	J 	J 	1 	1 	M 	M 	1 	2 	U 	U 	1 	0
main	16 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	K 	K 	1 	2 	A 	K 	0 	1 	K 	A 	0 	0
main	17 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	True 	both 	(0, 1) 	2 	G 	G 	1 	1 	G 	G 	1 	0 	Y 	Y 	1 	0
main	18 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	T 	J 	0 	1 	J 	J 	1 	2 	G 	K 	0 	0
main	19 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	G 	C 	0 	2 	G 	G 	1 	0 	C 	C 	1 	0
main	20 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, -1) 	2 	G 	G 	1 	0 	C 	C 	1 	1 	Y 	Y 	1 	0
main	21 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.3 	False 	False 	False 	both 	(0, -1) 	1 	Y 	H 	0 	2 	R 	Y 	0 	0 	F 	R 	0 	0
main	22 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	H 	H 	1 	1 	U 	U 	1 	2 	E 	V 	0 	0
main	23 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.6 	False 	False 	False 	both 	(0, -1) 	2 	M 	M 	1 	0 	M 	M 	1 	1 	E 	E 	1 	0
main	24 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	R 	A 	0 	1 	A 	R 	0 	0 	Y 	Y 	1 	0
main	25 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.4 	False 	False 	False 	both 	(0, -1) 	1 	Z 	S 	0 	2 	G 	Z 	0 	0 	S 	G 	0 	0
main	26 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	S 	S 	1 	0 	Y 	S 	0 	2 	J 	J 	1 	0
main	27 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	S 	S 	1 	1 	H 	H 	1 	2 	G 	G 	1 	0
main	28 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	N 	K 	0 	2 	K 	K 	1 	1 	Y 	Y 	1 	0
main	29 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.4 	False 	False 	True 	both 	(0, 1) 	2 	N 	N 	1 	0 	Z 	Z 	1 	1 	E 	E 	1 	0
main	30 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	C 	C 	1 	1 	S 	S 	1 	0 	K 	K 	1 	0
main	31 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	H 	H 	1 	1 	C 	C 	1 	2 	Z 	Z 	1 	0
main	32 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	False 	both 	(0, -1) 	1 	F 	R 	0 	0 	A 	A 	1 	2 	M 	M 	1 	0
main	33 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	False 	both 	(0, 1) 	2 	T 	T 	1 	0 	H 	H 	1 	1 	S 	S 	1 	0
main	34 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, 1) 	2 	R 	R 	1 	1 	J 	J 	1 	0 	J 	J 	1 	0
main	35 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, -1) 	2 	K 	K 	1 	1 	J 	J 	1 	0 	Z 	Z 	1 	0
main	36 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	E 	E 	1 	2 	Y 	Y 	1 	0 	U 	U 	1 	0
main	37 	zcha7409 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	R 	R 	1 	2 	H 	H 	1 	1 	T 	T 	1 	0
main	38 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	N 	N 	1 	2 	U 	U 	1 	0 	S 	S 	1 	0
main	39 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	C 	C 	1 	2 	S 	S 	1 	0 	F 	F 	1 	0
main	40 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	True 	both 	(0, 1) 	2 	U 	U 	1 	1 	C 	S 	0 	0 	J 	J 	1 	0
main	41 	zcha7409 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	True 	both 	(0, -1) 	2 	T 	T 	1 	1 	H 	H 	1 	0 	K 	K 	1 	0
