experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	zmen2544 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	RAT 	SEX 	0 	1 	SEX 	SEX 	1 	0
main	1 	zmen2544 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	DIG 	SEX 	0 	0 	TAX 	DIG 	0 	0
main	2 	zmen2544 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	TUB 	TUB 	1 	0 	TIL 	TIL 	1 	0
main	3 	zmen2544 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	MAD 	HAD 	0 	0 	HIM 	HIM 	1 	0
main	4 	zmen2544 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	DOC 	DOC 	1 	1 	LIE 	LIT 	0 	0
main	5 	zmen2544 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	HUT 	CUP 	0 	-99 	-99 	-99 	-99 	0
main	6 	zmen2544 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	MAD 	HUM 	0 	1 	YET 	LIT 	0 	0
main	7 	zmen2544 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	ACT 	ACT 	1 	-99 	-99 	-99 	-99 	0
main	8 	zmen2544 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	KID 	BED 	0 	1 	WET 	WET 	1 	0
main	9 	zmen2544 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	GOT 	TOP 	0 	0 	TOO 	GOT 	0 	0
main	10 	zmen2544 	 T1 	 True 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	JOY 	SEX 	0 	-99 	-99 	-99 	-99 	0
main	11 	zmen2544 	 T1 	 True 	 0.0 	4.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	CAR 	CAR 	1 	-99 	-99 	-99 	-99 	0
main	12 	zmen2544 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	BRA 	GUT 	0 	0 	MUD 	MUD 	1 	0
main	13 	zmen2544 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, -1) 	1 	BAR 	BAR 	1 	0 	WIN 	TAR 	0 	0
main	14 	zmen2544 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	TEN 	BUT 	0 	0 	AIR 	AIR 	1 	0
main	15 	zmen2544 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	SAD 	SAD 	1 	1 	TON 	TUB 	0 	0
main	16 	zmen2544 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	ACT 	MUD 	0 	1 	BAR 	TUB 	0 	0
main	17 	zmen2544 	 T1 	 True 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PIE 	PIC 	0 	-99 	-99 	-99 	-99 	0
main	18 	zmen2544 	 T1 	 False 	 0.0 	4.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	ARM 	AIM 	0 	1 	FEE 	BET 	0 	0
main	19 	zmen2544 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	DUG 	TAR 	0 	0 	BAR 	BAR 	1 	0
