experimentPhase	trialnum	subject	task	noisePercent	ISIframes	lltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	responseOrder1	responseOrder2	answer0	response0	correct0	answer1	response1	correct1	answer2	response2	correct2	timingBlips
main	0	aholcombe 	 T1 	0	12	0.9	False 	False 	False 	both 	"(0, -1) "	2	1	0	C 	C 	1	M 	M 	1	M 	M 	1	0
main	1	aholcombe 	 T1 	0	8	0.9	False 	False 	True 	both 	"(0, -1) "	2	1	0	F 	F 	1	E 	E 	1	F 	F 	1	0
main	2	aholcombe 	 T1 	0	6	0.9	False 	False 	True 	both 	"(0, 1) "	2	1	0	M 	M 	1	K 	K 	1	T 	T 	1	0
main	3	aholcombe 	 T1 	0	2	0.9	False 	False 	False 	both 	"(0, 1) "	1	0	2	K 	D 	0	C 	A 	0	H 	S 	0	0
main	4	aholcombe 	 T1 	0	3	0.5	False 	False 	True 	both 	"(0, 1) "	1	0	2	Y 	S 	0	F 	Y 	0	F 	Y 	0	0
main	5	aholcombe 	 T1 	0	4	0.1	False 	False 	False 	both 	"(0, -1) "	2	0	1	E 	E 	1	F 	F 	1	A 	E 	0	0
main	6	aholcombe 	 T1 	0	3	0.6	False 	False 	False 	both 	"(0, 1) "	0	1	2	J 	J 	1	H 	H 	1	A 	A 	1	0
main	7	aholcombe 	 T1 	0	3	0.6	False 	False 	True 	both 	"(0, -1) "	1	0	2	M 	M 	1	Y 	Z 	0	Z 	Y 	0	0
main	8	aholcombe 	 T1 	0	4	0	False 	False 	True 	both 	"(0, 1) "	1	2	0	E 	J 	0	R 	R 	1	K 	Y 	0	0
main	9	aholcombe 	 T1 	0	4	0.4	False 	False 	False 	both 	"(0, -1) "	2	1	0	J 	J 	1	R 	F 	0	G 	G 	1	0
main	10	aholcombe 	 T1 	0	4	0.4	False 	False 	True 	both 	"(0, -1) "	0	2	1	N 	N 	1	A 	A 	1	R 	R 	1	0
main	11	aholcombe 	 T1 	0	4	0.4	False 	False 	False 	both 	"(0, 1) "	0	1	2	E 	E 	1	N 	N 	1	G 	G 	1	0
main	12	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, 1) "	2	1	0	R 	R 	1	U 	U 	1	Y 	Y 	1	0
main	13	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, -1) "	0	2	1	T 	T 	1	R 	R 	1	E 	E 	1	0
main	14	aholcombe 	 T1 	0	4	0.1	False 	False 	False 	both 	"(0, -1) "	1	0	2	M 	M 	1	T 	T 	1	A 	E 	0	0
main	15	aholcombe 	 T1 	0	3	0.8	False 	False 	False 	both 	"(0, 1) "	0	1	2	A 	A 	1	U 	U 	1	N 	R 	0	0
main	16	aholcombe 	 T1 	0	3	0.8	False 	False 	True 	both 	"(0, -1) "	1	0	2	U 	R 	0	S 	S 	1	C 	C 	1	0
main	17	aholcombe 	 T1 	0	3	0.8	False 	False 	False 	both 	"(0, 1) "	1	0	2	Y 	R 	0	Y 	Y 	1	J 	Y 	0	0
main	18	aholcombe 	 T1 	0	4	0	False 	False 	False 	both 	"(0, -1) "	0	2	1	C 	C 	1	J 	R 	0	H 	J 	0	0
main	19	aholcombe 	 T1 	0	4	0.2	False 	False 	True 	both 	"(0, 1) "	1	2	0	F 	F 	1	G 	R 	0	T 	G 	0	0
main	20	aholcombe 	 T1 	0	4	0.4	False 	False 	False 	both 	"(0, -1) "	2	1	0	U 	U 	1	R 	R 	1	H 	H 	1	0
main	21	aholcombe 	 T1 	0	4	0.4	False 	False 	True 	both 	"(0, 1) "	2	1	0	K 	K 	1	M 	M 	1	Z 	Z 	1	0
main	22	aholcombe 	 T1 	0	4	0.4	False 	False 	False 	both 	"(0, 1) "	1	0	2	R 	R 	1	J 	J 	1	A 	A 	1	0
main	23	aholcombe 	 T1 	0	4	0.3	False 	False 	True 	both 	"(0, -1) "	0	1	2	K 	K 	1	C 	C 	1	N 	N 	1	0
main	24	aholcombe 	 T1 	0	4	0.3	False 	False 	True 	both 	"(0, -1) "	2	0	1	A 	A 	1	K 	K 	1	H 	H 	1	0
main	25	aholcombe 	 T1 	0	4	0.3	False 	False 	True 	both 	"(0, 1) "	2	1	0	G 	G 	1	J 	J 	1	A 	H 	0	0
